year,type_of_violence,Region,best_est,latitude,longitude,date_start,date_end,event_clarity
2014,1,Donetsk oblast,1,48,37.805278,30/11/2014,30/11/2014,1
2014,1,Luhansk oblast,2,48.633333,38.38,30/11/2014,30/11/2014,1
2014,1,Donetsk oblast,2,48.075,37.725556,30/11/2014,01/12/2014,1
2014,1,Luhansk oblast,2,48.753333,38.9725,02/12/2014,02/12/2014,1
2014,1,,1,48.15,38.65,05/12/2014,05/12/2014,1
2014,1,Donetsk oblast,1,48,37.805278,05/12/2014,05/12/2014,1
2014,1,Donetsk oblast,1,48.075,37.725556,16/12/2014,16/12/2014,1
2014,1,Donetsk oblast,3,48.075,37.725556,29/12/2014,29/12/2014,1
2014,1,,312,48.15,38.65,17/09/2014,25/09/2014,2
2014,1,,54,48.15,38.65,01/10/2014,31/10/2014,2
2014,1,,431,48.15,38.65,30/10/2014,07/12/2014,2
2014,1,,117,48.15,38.65,08/12/2014,24/12/2014,1
2015,1,Luhansk oblast,1,48.92,39.02,01/01/2015,01/01/2015,1
2015,1,Donetsk oblast,1,48.242485,38.524015,06/01/2015,07/01/2015,1
2015,1,Donetsk oblast,8,48.075,37.725556,09/01/2015,09/01/2015,1
2015,1,Luhansk oblast,2,48.694329,39.453292,09/01/2015,09/01/2015,1
2015,1,Donetsk oblast,12,47.595,37.4825,13/01/2015,13/01/2015,1
2015,1,Donetsk oblast,2,48,37.805278,13/01/2015,13/01/2015,1
2015,1,Donetsk oblast,1,48.14,37.74,13/01/2015,13/01/2015,1
2015,1,Donetsk oblast,2,48.075,37.725556,14/01/2015,14/01/2015,1
2015,1,Donetsk oblast,4,48,37.805278,15/01/2015,16/01/2015,1
2015,1,Donetsk oblast,2,48.075,37.725556,15/01/2015,15/01/2015,1
2015,1,Donetsk oblast,4,48.075,37.725556,15/01/2015,16/01/2015,1
2015,1,Luhansk oblast,1,48.2736,38.60835,15/01/2015,16/01/2015,1
2015,1,Donetsk oblast,1,48.075,37.725556,16/01/2015,16/01/2015,1
2015,1,Luhansk oblast,1,48.694329,39.453292,16/01/2015,16/01/2015,1
