Year,Region,Exports (USD),Exports % to Prev Year,Exports % of total,Imports (USD),Imports % to Prev Year,Imports % of total,Balance
2018,Kherson,269932.70,93.40,0.60,327736.70,162.70,0.60,9657804.00
2018,Khmelnytskiy,638152.00,136.50,1.30,446557.10,107.80,0.80,191594.90
2018,Cherkasy,785641.50,127.20,1.70,398120.20,98.70,0.70,387521.30
2018,Chernivtsi,200132.60,133.60,0.40,139620.20,123.30,0.20,60512.40
2018,Chernihiv,754951.90,120.80,1.60,483320.30,108.60,0.80,271631.60
2018,Kyivcity,10248192.30,105.20,21.70,23536557.90,118.60,41.20,9613288365.60
2020,Ukraine,49191824.52,98.28,100.00,54336136.72,89.37,100.00,-5144312.16
2020,Vinnytsya,1377759.99,94.67,2.80,554508.09,87.79,1.02,823251.91
2020,Volyn,642901.24,92.64,1.31,1315698.34,90.37,2.42,-672797.10
2020,Dnipropetrovsk,7591621.92,96.01,15.43,4634191.34,83.92,8.53,2957430.58
2020,Donetsk,3935012.33,84.96,8.00,1445841.81,65.00,2.66,2489170.52
2020,Zhytomyr,681049.32,94.72,1.38,527356.21,92.75,0.97,153693.12
2020,Zakarpattya,1349544.54,90.58,2.74,1255371.34,85.33,2.31,94173.20
2020,Zaporizhzhya,2923400.27,94.90,5.94,1221278.48,79.83,2.25,1702121.79
2020,Ivano Frankivsk,757650.47,83.13,1.54,639291.28,76.86,1.18,118359.19
2020,Kyiv,1967742.95,100.99,4.00,4178359.91,101.61,7.69,-2210616.96
2020,Kirovohrad,912658.68,129.08,1.86,232760.41,93.06,0.43,679898.27
2020,Luhansk,129599.20,84.79,0.26,212257.25,83.91,0.39,-82658.05
2020,Lviv,2322937.54,105.49,4.72,3443377.12,111.52,6.34,-1120439.59
2020,Mykolayiv,2248609.39,104.46,4.57,789864.35,79.91,1.45,1458745.10
2020,Odesa,1360392.26,98.29,2.77,2183765.41,116.09,4.02,-823373.10
2020,Poltava,2317275.74,110.22,4.71,1172474.53,86.20,2.16,1144801.21
2020,Rivne,469433.87,106.65,0.95,383000.92,100.12,0.70,86433.00
2020,Sumy,974366.98,110.30,1.98,836050.21,127.35,1.54,138316.77
2020,Ternopil,448146.07,103.20,0.91,405979.94,90.20,0.75,42166.20
2020,Kharkiv,1471159.51,103.96,2.99,1797256.43,102.95,3.31,-326096.92
2020,Kherson,280667.83,104.68,0.57,327013.67,80.33,0.60,-46345.90
2020,Khmelnytskiy,663414.62,103.28,1.35,507284.23,89.95,0.93,156130.38
2020,Cherkasy,810696.90,93.88,1.65,679489.80,142.34,1.25,131207.10
2020,Chernivtsi,168433.15,78.77,0.34,170895.44,81.92,0.31,-2462.20
2020,Chernihiv,890843.88,110.35,1.81,342040.34,81.56,0.63,548803.60
2020,Kyiv city,12427560.39,99.49,25.26,23929025.87,93.14,44.04,-11501465.48
2021,Ukraine,68072328.84,138.38,100.00,72843126.62,134.06,100.00,-4770797.80
2021,Vinnytsya,1309318.85,95.03,1.92,699069.12,126.07,0.96,610249.80
2021,Volyn,832547.19,129.50,1.22,1814372.17,137.90,2.49,-981825.00
2021,Dnipropetrovsk,12163791.85,160.23,17.87,5872329.88,126.72,8.06,6291462.00
2021,Donetsk,7037552.68,178.84,10.34,1892062.56,130.86,2.60,5145490.10
2021,Zhytomyr,771525.71,113.28,1.13,689129.74,130.68,0.95,82396.00
2021,Zakarpattya,1684845.89,124.85,2.48,1696863.96,135.17,2.33,-12018.10
2021,Zaporizhzhya,4740997.00,162.17,6.96,2046728.01,167.59,2.81,2694269.00
2021,Ivano Frankivsk,1165242.93,153.80,1.71,995715.03,155.75,1.37,169527.90
2021,Kyiv,2550544.22,129.62,3.75,5593420.12,133.87,7.68,-3042875.90
2021,Kirovohrad,1021478.57,111.92,1.50,292310.29,125.58,0.40,729168.28
2021,Luhansk,167895.88,129.55,0.25,264150.06,124.45,0.36,-96254.20
2021,Lviv,2932483.91,126.24,4.31,4755331.20,138.10,6.53,-1822847.28
2021,Mykolayiv,3457061.49,153.74,5.08,1194022.95,151.17,1.64,2263038.54
2021,Odesa,1697773.05,124.80,2.49,2311065.97,105.83,3.17,-613293.00
2021,Poltava,3189526.68,137.64,4.69,1879788.19,160.33,2.58,1309738.50
2021,Rivne,703946.57,149.96,1.03,576973.22,150.65,0.79,126973.40
2021,Sumy,1060854.02,108.88,1.56,857386.94,102.55,1.18,203467.10
2021,Ternopil,678877.95,151.49,1.00,530318.87,130.63,0.73,148559.09
2021,Kharkiv,1801285.97,122.44,2.65,2401288.94,133.61,3.30,-600002.90
2021,Kherson,412772.95,147.07,0.61,267136.54,81.69,0.37,145636.50
2021,Khmelnytskiy,918137.79,138.40,1.35,628633.13,123.92,0.86,289504.66
2021,Cherkasy,884081.51,109.05,1.30,1053856.79,155.10,1.45,-169775.28
